# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CG4019	FBgn0034885	FBtr0072103	protein_coding	0	23	1	623	4	0	3	206	0	200	1	0	0	0	1	0	0	0	0	22	210
CG4019	FBgn0034885	FBtr0072104	protein_coding	0	23	1	623	4	1	9	206	0	194	1	0	0	0	0	0	0	0	0	22	210
CG4019	FBgn0034885	FBtr0072105	protein_coding	0	22	1	409	4	0	0	206	0	29	1	0	0	0	0	0	0	0	0	22	170
CG4019	FBgn0034885	FBtr0306384	protein_coding	0	25	4	391	4	0	1	206	0	15	4	0	0	0	1	0	0	0	0	24	166
CG4019	FBgn0034885	FBtr0336929	protein_coding	0	23	3	387	4	1	9	206	0	5	3	0	0	0	0	0	0	0	0	22	163
CG40191	FBgn0058191	FBtr0113824	protein_coding	0	3	0	12	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	3	6
CG40191	FBgn0058191	FBtr0113825	protein_coding	0	3	0	12	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	6
CG40191	FBgn0058191	FBtr0113826	protein_coding	0	3	0	12	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	3	6
CG40191	FBgn0058191	FBtr0113827	protein_coding	0	4	0	12	0	1	3	5	0	1	0	0	0	0	0	0	0	0	0	3	3
CG40191	FBgn0058191	FBtr0334735	protein_coding	0	2	0	13	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	2	7
CG40198	FBgn0058198	FBtr0301809	protein_coding	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10
CG40198	FBgn0058198	FBtr0333189	protein_coding	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10
CG4020	FBgn0029821	FBtr0070824	protein_coding	0	16	3	76	4	0	0	49	0	3	3	0	0	0	1	0	0	0	0	15	21
CG4020	FBgn0029821	FBtr0333800	protein_coding	0	16	3	76	4	0	1	49	0	3	3	0	0	0	1	0	0	0	0	15	20
CG4021	FBgn0034659	FBtr0071716	protein_coding	0	13	10	315	2	0	5	111	0	23	10	0	0	0	5	0	0	0	0	8	179
CG4022	FBgn0035986	FBtr0076486	protein_coding	0	17	10	220	0	1	9	127	0	13	10	0	0	0	0	0	0	0	0	16	71
CG4022	FBgn0035986	FBtr0309088	protein_coding	0	17	10	235	4	1	8	138	0	14	10	0	0	0	0	0	0	0	0	16	71
CG4022	FBgn0035986	FBtr0309089	protein_coding	0	17	10	258	40	1	8	125	0	14	10	0	0	0	0	0	0	0	0	16	71
CG40228	FBgn0063670	FBtr0113841	protein_coding	0	1	0	10	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	7
CG40228	FBgn0063670	FBtr0333870	protein_coding	0	1	0	10	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	7
CG40228	FBgn0063670	FBtr0333871	protein_coding	0	1	0	10	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	7
CG40228	FBgn0063670	FBtr0333872	protein_coding	0	1	0	10	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	7
CG4025	FBgn0025624	FBtr0070375	protein_coding	0	2	1	79	4	0	1	26	0	1	1	0	0	0	0	0	0	0	0	2	47
CG40298	FBgn0058298	FBtr0111169	protein_coding	0	2	4	32	0	0	0	12	0	0	4	0	0	0	0	0	0	0	0	2	20
CG4036	FBgn0032149	FBtr0079870	protein_coding	0	6	4	117	0	0	0	55	0	2	4	0	0	0	1	0	0	0	0	5	61
CG4036	FBgn0032149	FBtr0303447	protein_coding	0	6	4	117	0	0	0	55	0	2	4	0	0	0	1	0	0	0	0	5	61
CG4038	FBgn0011824	FBtr0071639	protein_coding	0	12	0	501	4	0	0	216	0	32	0	0	0	0	0	0	0	0	0	12	249
CG4041	FBgn0029736	FBtr0300998	protein_coding	0	23	2	64	1	0	0	38	0	14	2	0	0	0	2	0	0	0	0	21	13
CG4042	FBgn0037018	FBtr0078279	protein_coding	0	0	1	76	0	0	0	40	0	0	1	0	0	0	0	0	0	0	0	0	36
CG4042	FBgn0037018	FBtr0321286	protein_coding	0	1	1	80	0	1	1	40	0	2	1	0	0	0	0	0	0	0	0	0	37
CG40439	FBgn0058439	FBtr0111232	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
CG40439	FBgn0058439	FBtr0111233	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
CG4045	FBgn0025629	FBtr0070331	protein_coding	0	4	0	87	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	4	30
CG40470	FBgn0058470	FBtr0111152	protein_coding	0	4	2	218	0	0	0	1	0	214	2	0	0	0	1	0	0	0	0	3	4
CG40472	FBgn0085736	FBtr0302233	protein_coding	0	0	0	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8
CG40485	FBgn0069973	FBtr0111189	protein_coding	0	3	2	58	4	0	0	19	0	4	2	0	0	0	0	0	0	0	0	3	31
CG40485	FBgn0069973	FBtr0111190	protein_coding	0	3	4	56	2	0	0	23	0	0	4	0	0	0	0	0	0	0	0	3	31
CG40486	FBgn0263830	FBtr0111188	protein_coding	0	2	0	48	0	1	2	11	0	0	0	0	0	0	0	0	0	0	0	1	35
CG40486	FBgn0263830	FBtr0343092	protein_coding	0	2	0	48	0	1	2	11	0	0	0	0	0	0	0	0	0	0	0	1	35
CG4049	FBgn0034976	FBtr0072285	protein_coding	0	40	11	207	15	1	1	75	0	33	11	0	0	0	2	0	0	0	0	37	85
CG40498	FBgn0069969	FBtr0302340	protein_coding	0	0	0	57	0	0	0	6	0	47	0	0	0	0	0	0	0	0	0	0	4
CG40498	FBgn0069969	FBtr0308892	protein_coding	0	1	0	57	6	0	0	0	0	47	0	0	0	0	1	0	0	0	0	0	4
CG40498	FBgn0069969	FBtr0308894	protein_coding	0	1	0	21	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	14
CG40498	FBgn0069969	FBtr0344186	protein_coding	0	0	0	57	0	0	0	6	0	47	0	0	0	0	0	0	0	0	0	0	4
CG40498	FBgn0069969	FBtr0344187	protein_coding	0	0	0	57	0	0	0	6	0	47	0	0	0	0	0	0	0	0	0	0	4
CG4050	FBgn0020312	FBtr0071637	protein_coding	0	56	12	403	10	1	7	177	0	34	12	0	0	0	4	0	0	0	0	52	178
CG4050	FBgn0020312	FBtr0071638	protein_coding	0	57	12	366	10	1	6	177	0	25	12	0	0	0	5	0	0	0	0	52	152
CG4053	FBgn0038482	FBtr0303413	protein_coding	0	20	6	313	0	0	0	178	0	6	6	0	0	0	1	0	0	0	0	19	130
CG4061	FBgn0025630	FBtr0070330	protein_coding	0	9	2	83	0	2	16	25	0	4	2	0	0	0	0	0	0	0	0	7	38
CG4061	FBgn0025630	FBtr0344156	protein_coding	0	9	2	83	0	2	16	25	0	4	2	0	0	0	0	0	0	0	0	7	38
CG4065	FBgn0034982	FBtr0072280	protein_coding	0	29	5	214	0	0	2	94	0	8	5	0	0	0	3	0	0	0	0	26	113
CG4065	FBgn0034982	FBtr0100398	protein_coding	0	29	5	214	0	0	2	94	0	8	5	0	0	0	3	0	0	0	0	26	113
CG4066	FBgn0038011	FBtr0082566	protein_coding	0	12	25	112	0	0	0	40	0	0	25	0	0	0	0	0	0	0	0	12	72
CG4069	FBgn0036301	FBtr0075965	protein_coding	0	30	9	274	3	0	1	152	0	7	9	0	0	0	3	0	0	0	0	27	113
CG4073	FBgn0037827	FBtr0082269	protein_coding	0	12	1	199	2	0	2	99	0	0	1	0	0	0	0	0	0	0	0	12	96
CG4074	FBgn0037017	FBtr0078280	protein_coding	0	3	3	71	1	0	0	38	0	1	3	0	0	0	1	0	0	0	0	2	32
CG4074	FBgn0037017	FBtr0345811	protein_coding	0	3	3	71	1	0	0	38	0	1	3	0	0	0	1	0	0	0	0	2	32
CG4078	FBgn0029798	FBtr0070807	protein_coding	0	18	8	104	1	0	3	56	0	5	8	0	0	0	0	0	0	0	0	18	39
CG4078	FBgn0029798	FBtr0332398	protein_coding	0	18	8	111	3	0	3	61	0	5	8	0	0	0	0	0	0	0	0	18	39
CG4080	FBgn0035983	FBtr0076494	protein_coding	0	39	4	387	2	3	10	46	0	214	4	0	0	0	3	0	0	0	0	34	117
CG4080	FBgn0035983	FBtr0309506	protein_coding	0	39	4	402	6	3	10	57	0	214	4	0	0	0	3	0	0	0	0	34	117
CG4089	FBgn0037838	FBtr0082281	protein_coding	0	16	15	121	5	1	6	65	0	1	15	0	0	0	1	0	0	0	0	15	44
CG4091	FBgn0034894	FBtr0072096	protein_coding	0	12	4	269	15	0	10	99	0	23	4	0	0	0	2	0	0	0	0	11	122
CG4091	FBgn0034894	FBtr0072097	protein_coding	0	12	5	268	15	0	10	99	0	22	5	0	0	0	3	0	0	0	0	11	122
CG4091	FBgn0034894	FBtr0072098	protein_coding	0	11	4	214	15	0	2	99	0	1	4	0	0	0	1	0	0	0	0	11	97
CG4095	FBgn0029890	FBtr0070955	protein_coding	0	17	0	102	1	0	1	35	0	9	0	0	0	0	0	0	0	0	0	17	56
CG4096	FBgn0029791	FBtr0301083	protein_coding	0	35	8	254	2	2	6	78	0	62	8	0	0	0	4	0	0	0	0	29	110
CG4096	FBgn0029791	FBtr0301084	protein_coding	0	24	2	260	17	0	1	78	0	61	2	0	0	0	4	0	0	0	0	20	107
CG4098	FBgn0036648	FBtr0075361	protein_coding	0	3	3	32	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	3	15
CG4101	FBgn0025558	FBtr0075314	protein_coding	0	0	0	24	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	15
CG41099	FBgn0039955	FBtr0113989	protein_coding	0	3	8	42	4	0	1	11	0	26	8	0	0	0	1	0	0	0	0	2	1
CG41099	FBgn0039955	FBtr0113990	protein_coding	0	3	8	37	0	0	1	10	0	26	8	0	0	0	1	0	0	0	0	2	1
CG41099	FBgn0039955	FBtr0113991	protein_coding	0	3	8	37	0	0	1	10	0	26	8	0	0	0	1	0	0	0	0	2	1
CG41099	FBgn0039955	FBtr0344573	protein_coding	0	3	8	38	3	0	1	8	0	26	8	0	0	0	1	0	0	0	0	2	1
CG41106	FBgn0069938	FBtr0111194	protein_coding	0	2	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5
CG41128	FBgn0069923	FBtr0301812	protein_coding	0	1	2	16	0	1	1	5	0	3	2	0	0	0	0	0	0	0	0	0	7
CG4115	FBgn0038017	FBtr0082568	protein_coding	0	4	1	109	4	0	1	34	0	19	1	0	0	0	0	0	0	0	0	4	51
CG4116	FBgn0029649	FBtr0070561	protein_coding	0	3	5	61	1	0	0	37	0	0	5	0	0	0	0	0	0	0	0	3	23
CG4116	FBgn0029649	FBtr0332494	protein_coding	0	3	5	61	1	0	0	37	0	0	5	0	0	0	0	0	0	0	0	3	23
CG4119	FBgn0028474	FBtr0070799	protein_coding	0	20	5	124	2	0	2	58	0	11	5	0	0	0	0	0	0	0	0	20	51
CG4119	FBgn0028474	FBtr0340463	protein_coding	0	20	5	126	2	0	2	60	0	11	5	0	0	0	0	0	0	0	0	20	51
CG41242	FBgn0085569	FBtr0301782	protein_coding	0	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4
CG41284	FBgn0085599	FBtr0343638	protein_coding	0	0	3	24	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	14
CG4133	FBgn0031257	FBtr0078061	protein_coding	0	7	2	73	4	0	4	35	0	8	2	0	0	0	0	0	0	0	0	7	22
CG4133	FBgn0031257	FBtr0331230	protein_coding	0	7	2	73	4	0	4	35	0	8	2	0	0	0	0	0	0	0	0	7	22
CG4133	FBgn0031257	FBtr0331231	protein_coding	0	5	2	75	6	0	4	35	0	8	2	0	0	0	0	0	0	0	0	5	22
CG41378	FBgn0085638	FBtr0301790	protein_coding	0	0	0	35	0	0	0	3	0	28	0	0	0	0	0	0	0	0	0	0	4
CG41378	FBgn0085638	FBtr0301791	protein_coding	0	0	0	35	0	0	0	3	0	28	0	0	0	0	0	0	0	0	0	0	4
CG41378	FBgn0085638	FBtr0301792	protein_coding	0	0	0	35	0	0	0	3	0	28	0	0	0	0	0	0	0	0	0	0	4
CG41378	FBgn0085638	FBtr0334937	protein_coding	0	0	0	35	0	0	0	3	0	28	0	0	0	0	0	0	0	0	0	0	4
CG41434	FBgn0084001	FBtr0332199	protein_coding	0	7	8	112	0	0	0	57	0	1	8	0	0	0	0	0	0	0	0	7	54
CG41434	FBgn0084001	FBtr0332200	protein_coding	0	8	8	117	2	1	6	60	0	1	8	0	0	0	0	0	0	0	0	7	48
CG4151	FBgn0029770	FBtr0070779	protein_coding	0	12	3	204	4	0	1	103	0	0	3	0	0	0	1	0	0	0	0	11	96
CG4151	FBgn0029770	FBtr0345786	protein_coding	0	12	3	212	10	1	13	98	0	0	3	0	0	0	0	0	0	0	0	11	91
CG41520	FBgn0087011	FBtr0114111	protein_coding	0	6	1	146	0	0	0	6	0	136	1	0	0	0	0	0	0	0	0	6	4
CG41520	FBgn0087011	FBtr0114112	protein_coding	0	6	1	146	0	0	0	6	0	136	1	0	0	0	0	0	0	0	0	6	4
CG41520	FBgn0087011	FBtr0302581	protein_coding	0	4	1	74	0	0	0	13	0	57	1	0	0	0	0	0	0	0	0	4	4
CG41520	FBgn0087011	FBtr0302582	protein_coding	0	6	1	146	0	0	0	6	0	136	1	0	0	0	0	0	0	0	0	6	4
CG41562	FBgn0085693	FBtr0114142	protein_coding	0	1	3	20	0	0	0	20	0	0	3	0	0	0	0	0	0	0	0	1	0
CG4159	FBgn0038811	FBtr0083944	protein_coding	0	12	2	166	0	0	4	90	0	1	2	0	0	0	1	0	0	0	0	11	72
CG4159	FBgn0038811	FBtr0302323	protein_coding	0	13	4	163	0	0	1	90	0	1	4	0	0	0	1	0	0	0	0	12	72
CG4161	FBgn0028892	FBtr0080735	protein_coding	0	16	1	247	7	0	0	111	0	0	1	0	0	0	0	0	0	0	0	16	129
CG4161	FBgn0028892	FBtr0346583	protein_coding	0	18	1	249	10	0	0	110	0	0	1	0	0	0	2	0	0	0	0	16	129
CG4164	FBgn0031256	FBtr0078060	protein_coding	0	2	1	61	0	0	0	32	0	0	1	0	0	0	0	0	0	0	0	2	29
CG4165	FBgn0029763	FBtr0070772	protein_coding	0	39	8	137	5	1	1	104	0	11	8	0	0	0	0	0	0	0	0	38	16
CG4165	FBgn0029763	FBtr0070773	protein_coding	0	40	8	137	5	2	2	104	0	7	8	0	0	0	0	0	0	0	0	38	19
CG4165	FBgn0029763	FBtr0070775	protein_coding	0	38	8	137	5	0	1	104	0	6	8	0	0	0	0	0	0	0	0	38	21
CG4165	FBgn0029763	FBtr0340461	protein_coding	0	38	8	137	5	0	0	104	0	6	8	0	0	0	0	0	0	0	0	38	22
CG4165	FBgn0029763	FBtr0340462	protein_coding	0	40	8	146	7	2	2	111	0	7	8	0	0	0	0	0	0	0	0	38	19
CG4168	FBgn0028888	FBtr0305559	protein_coding	0	57	10	892	23	1	14	118	0	640	10	0	0	0	2	0	0	0	0	54	99
CG4168	FBgn0028888	FBtr0343105	protein_coding	0	57	10	897	24	1	14	122	0	640	10	0	0	0	2	0	0	0	0	54	99
CG4169	FBgn0250814	FBtr0075309	protein_coding	0	2	0	42	0	0	3	11	0	3	0	0	0	0	0	0	0	0	0	2	25
CG4169	FBgn0250814	FBtr0331557	protein_coding	0	2	0	42	0	0	3	11	0	3	0	0	0	0	0	0	0	0	0	2	25
CG4174	FBgn0036793	FBtr0344517	protein_coding	0	19	14	270	1	0	0	113	0	3	14	0	0	0	2	0	0	0	0	17	155
CG4174	FBgn0036793	FBtr0344518	protein_coding	0	22	14	594	1	1	19	113	0	385	14	0	0	0	4	0	0	0	0	17	80
CG4174	FBgn0036793	FBtr0344519	protein_coding	0	22	14	594	1	1	21	113	0	383	14	0	0	0	4	0	0	0	0	17	80
CG4186	FBgn0040634	FBtr0078246	protein_coding	0	2	1	69	1	0	0	31	0	1	1	0	0	0	1	0	0	0	0	1	37
CG4186	FBgn0040634	FBtr0345810	protein_coding	0	2	1	69	2	0	0	30	0	1	1	0	0	0	1	0	0	0	0	1	37
CG4194	FBgn0025627	FBtr0070328	protein_coding	0	2	4	74	2	0	0	57	0	0	4	0	0	0	0	0	0	0	0	2	15
CG4198	FBgn0029753	FBtr0070750	protein_coding	0	8	7	119	3	0	2	41	0	0	7	0	0	0	0	0	0	0	0	8	73
CG4198	FBgn0029753	FBtr0340475	protein_coding	0	8	7	119	3	0	2	41	0	0	7	0	0	0	0	0	0	0	0	8	73
CG4199	FBgn0025628	FBtr0070334	protein_coding	0	2	1	94	1	1	2	15	0	30	1	0	0	0	0	0	0	0	0	1	46
CG4199	FBgn0025628	FBtr0070335	protein_coding	0	2	1	94	1	1	4	15	0	27	1	0	0	0	0	0	0	0	0	1	47
CG4199	FBgn0025628	FBtr0070336	protein_coding	0	2	1	94	1	1	3	15	0	28	1	0	0	0	0	0	0	0	0	1	47
CG4199	FBgn0025628	FBtr0070337	protein_coding	0	0	1	86	1	0	0	15	0	14	1	0	0	0	0	0	0	0	0	0	56
CG4199	FBgn0025628	FBtr0300254	protein_coding	0	2	1	103	1	1	1	15	0	55	1	0	0	0	0	0	0	0	0	1	31
CG4199	FBgn0025628	FBtr0300255	protein_coding	0	4	1	103	1	3	10	15	0	46	1	0	0	0	0	0	0	0	0	1	31
CG4199	FBgn0025628	FBtr0302435	protein_coding	0	3	1	98	1	2	4	15	0	39	1	0	0	0	0	0	0	0	0	1	39
CG4203	FBgn0038300	FBtr0083048	protein_coding	0	14	1	143	1	0	0	73	0	0	1	0	0	0	0	0	0	0	0	14	69
CG4210	FBgn0038302	FBtr0083049	protein_coding	0	8	4	111	0	0	1	52	0	6	4	0	0	0	1	0	0	0	0	7	53
CG4213	FBgn0031251	FBtr0078093	protein_coding	0	26	26	172	1	0	6	57	0	25	26	0	0	0	1	0	0	0	0	25	84
CG4213	FBgn0031251	FBtr0331204	protein_coding	0	26	26	172	1	0	2	57	0	25	26	0	0	0	1	0	0	0	0	25	88
CG4218	FBgn0250844	FBtr0080662	protein_coding	0	20	19	224	2	1	4	103	0	8	19	0	0	0	0	0	0	0	0	19	107
CG4218	FBgn0250844	FBtr0343703	protein_coding	0	5	2	244	0	1	4	132	0	1	2	0	0	0	0	0	0	0	0	4	107
CG4218	FBgn0250844	FBtr0343704	protein_coding	0	20	19	225	2	1	4	104	0	8	19	0	0	0	0	0	0	0	0	19	107
CG4218	FBgn0250844	FBtr0344772	protein_coding	0	18	17	228	8	1	4	103	0	6	17	0	0	0	0	0	0	0	0	17	107
CG4221	FBgn0038385	FBtr0083201	protein_coding	0	27	5	231	2	0	2	66	0	98	5	0	0	0	0	0	0	0	0	27	63
CG42231	FBgn0087041	FBtr0273183	protein_coding	0	4	4	345	3	0	1	163	0	72	4	0	0	0	0	0	0	0	0	4	106
CG42232	FBgn0250754	FBtr0290134	protein_coding	0	33	75	116	3	0	0	58	0	1	75	0	0	0	0	0	0	0	0	33	54
CG42233	FBgn0250755	FBtr0290135	protein_coding	0	11	12	103	5	0	2	31	0	24	12	0	0	0	1	0	0	0	0	10	42
CG42235	FBgn0250757	FBtr0290137	protein_coding	0	46	5	385	1	1	4	123	0	164	5	0	0	0	8	0	0	0	0	37	101
CG42235	FBgn0250757	FBtr0290138	protein_coding	0	31	10	481	8	1	4	117	0	251	10	0	0	0	0	0	0	0	0	30	101
CG42235	FBgn0250757	FBtr0290139	protein_coding	0	27	9	449	1	1	4	135	0	209	9	0	0	0	1	0	0	0	0	25	101
CG42235	FBgn0250757	FBtr0290140	protein_coding	0	29	5	339	0	1	4	120	0	117	5	0	0	0	5	0	0	0	0	25	101
CG42235	FBgn0250757	FBtr0290141	protein_coding	0	24	5	305	15	1	4	118	0	69	5	0	0	0	2	0	0	0	0	21	101
CG42237	FBgn0250862	FBtr0073722	protein_coding	0	8	3	256	2	0	5	56	0	109	3	0	0	0	1	0	0	0	0	7	85
CG42237	FBgn0250862	FBtr0340302	protein_coding	0	8	3	256	2	0	5	56	0	109	3	0	0	0	1	0	0	0	0	7	85
CG42238	FBgn0250867	FBtr0290305	protein_coding	0	0	3	842	27	0	1	55	0	713	3	0	0	0	0	0	0	0	0	0	46
CG42238	FBgn0250867	FBtr0290306	protein_coding	0	0	2	138	27	0	2	55	0	11	2	0	0	0	0	0	0	0	0	0	43
CG42238	FBgn0250867	FBtr0331199	protein_coding	0	2	2	843	27	0	9	55	0	708	2	0	0	0	2	0	0	0	0	0	46
CG42238	FBgn0250867	FBtr0331200	protein_coding	1	0	2	137	26	0	4	55	0	10	2	0	1	0	0	0	0	0	0	0	43
CG42239	FBgn0250868	FBtr0290307	protein_coding	0	1	0	88	0	0	3	45	0	0	0	0	0	0	0	0	0	0	0	1	40
CG42240	FBgn0250869	FBtr0290308	protein_coding	0	1	1	65	5	0	0	15	0	0	1	0	0	0	0	0	0	0	0	1	45
CG42240	FBgn0250869	FBtr0330208	protein_coding	0	1	3	63	3	0	0	15	0	0	3	0	0	0	0	0	0	0	0	1	45
CG42240	FBgn0250869	FBtr0339775	protein_coding	0	1	1	70	5	0	0	20	0	0	1	0	0	0	0	0	0	0	0	1	45
CG42245	FBgn0250911	FBtr0290341	protein_coding	0	13	5	503	83	0	1	175	0	106	5	0	0	0	4	0	0	0	0	9	141
CG42246	FBgn0259098	FBtr0299508	protein_coding	0	3	0	95	0	2	2	23	0	1	0	0	0	0	0	0	0	0	0	1	69
CG42246	FBgn0259098	FBtr0343327	protein_coding	0	3	0	94	0	2	2	22	0	1	0	0	0	0	0	0	0	0	0	1	69
CG42249	FBgn0259101	FBtr0299513	protein_coding	0	5	1	113	0	0	0	70	0	9	1	0	0	0	0	0	0	0	0	5	34
CG42249	FBgn0259101	FBtr0299514	protein_coding	0	7	6	113	0	0	0	66	0	14	6	0	0	0	1	0	0	0	0	6	34
CG42249	FBgn0259101	FBtr0332384	protein_coding	0	7	6	79	0	0	0	66	0	14	6	0	0	0	1	0	0	0	0	6	0
CG42255	FBgn0259140	FBtr0332131	protein_coding	1	135	78	304	4	3	8	122	0	44	78	0	0	1	4	0	0	0	0	129	130
CG42258	FBgn0259143	FBtr0299558	protein_coding	0	7	1	431	11	1	3	85	0	231	1	0	0	0	0	0	0	0	0	6	101
CG42258	FBgn0259143	FBtr0299559	protein_coding	0	2	0	267	6	0	1	84	0	64	0	0	0	0	0	0	0	0	0	2	112
CG42258	FBgn0259143	FBtr0339839	protein_coding	0	3	3	183	6	0	1	84	0	14	3	0	0	0	2	0	0	0	0	3	78
CG42258	FBgn0259143	FBtr0339840	protein_coding	0	2	0	273	11	0	1	85	0	64	0	0	0	0	0	0	0	0	0	2	112
CG42259	FBgn0266569	FBtr0299571	protein_coding	0	1	1	82	4	0	2	46	0	2	1	0	0	0	0	0	0	0	0	1	28
CG42259	FBgn0266569	FBtr0305650	protein_coding	0	1	1	81	4	0	0	46	0	2	1	0	0	0	0	0	0	0	0	1	29
CG42260	FBgn0259145	FBtr0299572	protein_coding	0	38	7	998	7	0	9	45	0	883	7	0	0	0	7	0	0	0	0	31	61
CG42260	FBgn0259145	FBtr0299573	protein_coding	0	36	5	1058	21	0	9	87	0	887	5	0	0	0	7	0	0	0	0	29	61
CG42260	FBgn0259145	FBtr0330241	protein_coding	0	38	7	1005	9	0	9	50	0	882	7	0	0	0	6	0	0	0	0	32	61
CG42261	FBgn0259146	FBtr0334898	protein_coding	0	22	7	213	17	0	0	52	0	74	7	0	0	0	0	0	0	0	0	22	70
CG42263	FBgn0259148	FBtr0302430	protein_coding	0	2	0	114	2	0	0	48	0	4	0	0	0	0	0	0	0	0	0	2	60
CG42264	FBgn0259149	FBtr0299596	protein_coding	0	13	4	153	3	0	1	63	0	8	4	0	0	0	0	0	0	0	0	13	78
CG42264	FBgn0259149	FBtr0307205	protein_coding	0	12	4	154	3	0	1	63	0	9	4	0	0	0	0	0	0	0	0	12	78
CG42265	FBgn0259150	FBtr0331167	protein_coding	0	64	4	189	18	0	3	61	0	58	4	0	0	0	1	0	0	0	0	63	50
CG42265	FBgn0259150	FBtr0331168	protein_coding	0	61	3	193	22	0	2	61	0	59	3	0	0	0	1	0	0	0	0	60	50
CG42265	FBgn0259150	FBtr0346834	protein_coding	0	64	4	189	18	0	3	61	0	58	4	0	0	0	1	0	0	0	0	63	50
CG42266	FBgn0259151	FBtr0299599	protein_coding	0	25	20	320	6	0	3	169	0	14	20	0	0	0	4	0	0	0	0	21	132
CG42268	FBgn0259163	FBtr0299606	protein_coding	0	84	20	823	9	2	16	128	0	547	20	0	0	0	6	0	0	0	0	77	127
CG42268	FBgn0259163	FBtr0299607	protein_coding	0	76	20	627	9	0	5	128	0	388	20	0	0	0	5	0	0	0	0	72	101
CG42268	FBgn0259163	FBtr0301858	protein_coding	0	65	17	641	23	0	5	128	0	388	17	0	0	0	5	0	0	0	0	61	101
CG42268	FBgn0259163	FBtr0331537	protein_coding	0	82	21	821	9	0	8	128	0	554	21	0	0	0	6	0	0	0	0	77	127
CG42268	FBgn0259163	FBtr0331538	protein_coding	0	23	3	538	9	3	18	128	0	231	3	0	0	0	4	0	0	0	0	16	155
CG42268	FBgn0259163	FBtr0331539	protein_coding	0	22	3	410	9	3	11	128	0	107	3	0	0	0	3	0	0	0	0	16	158
CG42268	FBgn0259163	FBtr0331540	protein_coding	0	76	21	626	9	0	5	128	0	387	21	0	0	0	5	0	0	0	0	72	101
CG42268	FBgn0259163	FBtr0331541	protein_coding	0	65	17	641	23	0	5	128	0	388	17	0	0	0	5	0	0	0	0	61	101
CG42269	FBgn0259164	FBtr0299610	protein_coding	0	37	3	301	2	0	2	126	0	71	3	0	0	0	1	0	0	0	0	36	101
CG42271	FBgn0259166	FBtr0299614	protein_coding	0	9	0	137	7	0	1	41	0	2	0	0	0	0	3	0	0	0	0	8	87
CG42271	FBgn0259166	FBtr0299615	protein_coding	0	23	2	200	2	0	1	93	0	18	2	0	0	0	3	0	0	0	0	22	87
CG42272	FBgn0259167	FBtr0299616	protein_coding	0	33	13	243	1	0	0	115	0	42	13	0	0	0	1	0	0	0	0	32	86
CG42272	FBgn0259167	FBtr0299617	protein_coding	0	35	8	243	1	4	22	115	0	10	8	0	0	0	1	0	0	0	0	30	96
CG42284	FBgn0259179	FBtr0343178	protein_coding	0	47	12	424	0	1	6	147	0	140	12	0	0	0	4	0	0	0	0	43	134
CG42284	FBgn0259179	FBtr0343179	protein_coding	0	29	7	342	0	1	1	147	0	76	7	0	0	0	1	0	0	0	0	27	119
CG42287	FBgn0259183	FBtr0299667	protein_coding	0	15	2	244	0	0	2	68	0	12	2	0	0	0	2	0	0	0	0	13	164
CG42288	FBgn0259184	FBtr0299668	protein_coding	0	11	2	219	2	1	3	43	0	9	2	0	0	0	1	0	0	0	0	9	163
CG42288	FBgn0259184	FBtr0307217	protein_coding	0	11	2	219	2	1	3	43	0	9	2	0	0	0	1	0	0	0	0	9	163
